file,material,condition,angle_deg,wavelength,norm_path,mask_path,mean_defect,mean_bg,std_bg,CNR,SNR,sharpness_varLapl,entropy,glare_ratio,defect_area_pct
C:\Users\engsa\Desktop\said_AI_proc\metal\defected\0deg\blue\metal_defected_0deg_blue.bmp,metal,defected,0,blue,C:\Users\engsa\Desktop\said_AI_proc\metal\defected\0deg\blue\metal_defected_0deg_blue_norm.png,C:\Users\engsa\Desktop\said_AI_proc\metal\defected\0deg\blue\metal_defected_0deg_blue_mask.png,121.35054649833292,17.779911738306573,7.82770979676689,13.231281875422173,2.1068880697541257,56698.8515625,7.364586835683109,0.0006985134548611111,4.989284939236112
C:\Users\engsa\Desktop\said_AI_proc\metal\defected\0deg\green\metal_defected_0deg_green.bmp,metal,defected,0,green,C:\Users\engsa\Desktop\said_AI_proc\metal\defected\0deg\green\metal_defected_0deg_green_norm.png,C:\Users\engsa\Desktop\said_AI_proc\metal\defected\0deg\green\metal_defected_0deg_green_mask.png,91.9547727243959,24.469198164954623,8.51968099647891,7.921138665559464,2.307887359618162,33776.5546875,6.943212231715048,0.0013046763301674837,3.151528352226307
C:\Users\engsa\Desktop\said_AI_proc\metal\defected\0deg\white\metal_defected_0deg_white.bmp,metal,defected,0,white,C:\Users\engsa\Desktop\said_AI_proc\metal\defected\0deg\white\metal_defected_0deg_white_norm.png,C:\Users\engsa\Desktop\said_AI_proc\metal\defected\0deg\white\metal_defected_0deg_white_mask.png,111.11700752617801,35.401745287723145,10.54892834579824,7.177531191461086,2.709128632485037,21941.32421875,7.0852905777646304,0.003914228451797386,2.4382148692810457
C:\Users\engsa\Desktop\said_AI_proc\metal\defected\0deg\red\metal_defected_0deg_red.bmp,metal,defected,0,red,C:\Users\engsa\Desktop\said_AI_proc\metal\defected\0deg\red\metal_defected_0deg_red_norm.png,C:\Users\engsa\Desktop\said_AI_proc\metal\defected\0deg\red\metal_defected_0deg_red_mask.png,91.46901275637164,10.534524284432033,6.068740799817223,13.336290202800747,1.7307252708536398,55918.0703125,7.194424773606984,3.9692797691993465e-05,1.5229667713439543
C:\Users\engsa\Desktop\said_AI_proc\metal\undefected\0deg\blue\metal_undefected_0deg_blue.bmp,metal,undefected,0,blue,C:\Users\engsa\Desktop\said_AI_proc\metal\undefected\0deg\blue\metal_undefected_0deg_blue_norm.png,C:\Users\engsa\Desktop\said_AI_proc\metal\undefected\0deg\blue\metal_undefected_0deg_blue_mask.png,107.86390837260237,22.48991722349656,10.067204271204915,8.480407156662139,2.151624119131656,53891.53125,7.315433897763985,0.0010254305172589869,6.429614896088644
C:\Users\engsa\Desktop\said_AI_proc\metal\undefected\0deg\green\metal_undefected_0deg_green.bmp,metal,undefected,0,green,C:\Users\engsa\Desktop\said_AI_proc\metal\undefected\0deg\green\metal_undefected_0deg_green_norm.png,C:\Users\engsa\Desktop\said_AI_proc\metal\undefected\0deg\green\metal_undefected_0deg_green_mask.png,89.54551245063583,24.01589458462152,8.290633615384733,7.904054250378709,2.2728479790787555,36108.328125,6.954545924301117,0.0018683539496527778,2.6617511425142975
C:\Users\engsa\Desktop\said_AI_proc\metal\undefected\0deg\white\metal_undefected_0deg_white.bmp,metal,undefected,0,white,C:\Users\engsa\Desktop\said_AI_proc\metal\undefected\0deg\white\metal_undefected_0deg_white_norm.png,C:\Users\engsa\Desktop\said_AI_proc\metal\undefected\0deg\white\metal_undefected_0deg_white_mask.png,106.38566464354226,36.2164979555201,10.523051891233157,6.668138427263737,2.7684657100776167,20875.974609375,7.033899699983395,0.00418649311938317,2.537067887050654
C:\Users\engsa\Desktop\said_AI_proc\metal\undefected\0deg\red\metal_undefected_0deg_red.bmp,metal,undefected,0,red,C:\Users\engsa\Desktop\said_AI_proc\metal\undefected\0deg\red\metal_undefected_0deg_red_norm.png,C:\Users\engsa\Desktop\said_AI_proc\metal\undefected\0deg\red\metal_undefected_0deg_red_mask.png,138.31311344060893,9.964234068016356,5.81282630741087,22.080288070702956,1.7792419440500913,54426.92578125,7.196056495386364,7.080875970179739e-05,0.5974663628472222
C:\Users\engsa\Desktop\said_AI_proc\plastic\defected\0deg\red\plastic_defected_0deg_red.bmp,plastic,defected,0,red,C:\Users\engsa\Desktop\said_AI_proc\plastic\defected\0deg\red\plastic_defected_0deg_red_norm.png,C:\Users\engsa\Desktop\said_AI_proc\plastic\defected\0deg\red\plastic_defected_0deg_red_mask.png,120.01189730745148,26.82915378478109,13.0173950279631,7.158324943085881,2.7829875355792058,36469.94140625,7.289700748614135,0.0,0.12741587520424838
C:\Users\engsa\Desktop\said_AI_proc\plastic\defected\0deg\green\plastic_defected_0deg_green.bmp,plastic,defected,0,green,C:\Users\engsa\Desktop\said_AI_proc\plastic\defected\0deg\green\plastic_defected_0deg_green_norm.png,C:\Users\engsa\Desktop\said_AI_proc\plastic\defected\0deg\green\plastic_defected_0deg_green_mask.png,103.48387096774194,36.26516405704598,14.123737546497747,4.759271877532455,2.6460256028317874,56442.4765625,7.40909266136801,0.0,0.012366600285947712
